candidate,cadence_yr,worst_max_dq,worst_dq_abs_diff_vs_00625,worst_dq_rel_diff_pct,closest_sep,closest_sep_abs_diff_vs_00625,closest_sep_rel_diff_pct,Ammonite_max_dq,Ammonite_dq_abs_diff_vs_00625,Ammonite_min_sep,Ammonite_sep_abs_diff_vs_00625
14,0.250000000000000,0.047923027359005,0.000014590858200,0.030437178029518,8.331674968043689,0.000001415471820,0.000016989039835,0.039545007827982,0.000000183087636,8.331674968043689,0.000001415471820
14,0.125000000000000,0.047923813048897,0.000013805168308,0.028798194031077,8.331674968043689,0.000001415471820,0.000016989039835,0.039545007827982,0.000000183087636,8.331674968043689,0.000001415471820
14,0.062500000000000,0.047937618217205,0.000000000000000,0.000000000000000,8.331676383515509,0.000000000000000,0.000000000000000,0.039544824740346,0.000000000000000,8.331676383515509,0.000000000000000
53,0.250000000000000,0.042897526967536,0.000009539727955,0.022233465696563,9.814488510795616,0.000015000343675,0.000152839005157,0.042897526967536,0.000009539727955,9.814488510795616,0.000015000343675
53,0.125000000000000,0.042906420753539,0.000000645941952,0.001505444212616,9.814481516862825,0.000008006410884,0.000081577589211,0.042906420753539,0.000000645941952,9.814481516862825,0.000008006410884
53,0.062500000000000,0.042907066695491,0.000000000000000,0.000000000000000,9.814473510451942,0.000000000000000,0.000000000000000,0.042907066695491,0.000000000000000,9.814473510451942,0.000000000000000
60,0.250000000000000,0.053814631478787,0.000014841084038,0.027570554440844,55.083445202378222,0.000000360207224,0.000000653930088,0.053814631478787,0.000014841084038,55.083445202378222,0.000000360207224
60,0.125000000000000,0.053814631478787,0.000014841084038,0.027570554440844,55.083445202378222,0.000000360207224,0.000000653930088,0.053814631478787,0.000014841084038,55.083445202378222,0.000000360207224
60,0.062500000000000,0.053829472562825,0.000000000000000,0.000000000000000,55.083445562585446,0.000000000000000,0.000000000000000,0.053829472562825,0.000000000000000,55.083445562585446,0.000000000000000
66,0.250000000000000,0.138699572987775,0.000012100691592,0.008723628856087,59.313297555963729,0.000001846607624,0.000003113311446,0.033511624777177,0.000000362180430,59.313297555963729,0.000001846607624
66,0.125000000000000,0.138699572987775,0.000012100691592,0.008723628856087,59.313297555963729,0.000001846607624,0.000003113311446,0.033511624777177,0.000000362180430,59.313297555963729,0.000001846607624
66,0.062500000000000,0.138711673679367,0.000000000000000,0.000000000000000,59.313295709356105,0.000000000000000,0.000000000000000,0.033511986957606,0.000000000000000,59.313295709356105,0.000000000000000
67,0.250000000000000,0.029542165224470,0.000014843702900,0.050220585365050,10.921849544133899,0.000001072690873,0.000009821512037,0.018413259103468,0.000002412012961,56.078182253457804,0.000018529595522
67,0.125000000000000,0.029556995968306,0.000000012959063,0.000043844298277,10.921849544133899,0.000001072690873,0.000009821512037,0.018414729107349,0.000000942009081,56.078173532957557,0.000009809095275
67,0.062500000000000,0.029557008927370,0.000000000000000,0.000000000000000,10.921850616824772,0.000000000000000,0.000000000000000,0.018415671116429,0.000000000000000,56.078163723862282,0.000000000000000
