candidate,cadence_yr,integration_dt_yr,Sedna_max_dq,VP113_max_dq,Leleakuhonua_max_dq,Ammonite_max_dq,worst_object,worst_max_dq,time_worst_dq,Sedna_min_sep,VP113_min_sep,Leleakuhonua_min_sep,Ammonite_min_sep,closest_object,closest_sep,time_closest_sep,runtime_s
14,0.250000000000000,0.125000000000000,0.013548900605102,0.047923027359005,0.008923457615239,0.039545007827982,VP113,0.047923027359005,59196.500000000000000,45.715114313860660,36.821173161558093,82.828705887248219,8.331674968043689,Ammonite,8.331674968043689,59704.250000000000000,30.538822174072266
14,0.125000000000000,0.125000000000000,0.013548900605102,0.047923813048897,0.008923457615239,0.039545007827982,VP113,0.047923813048897,59196.375000000000000,45.715091673941885,36.821163884985296,82.828705887248219,8.331674968043689,Ammonite,8.331674968043689,59704.250000000000000,59.972773313522339
14,0.062500000000000,0.125000000000000,0.013549041204229,0.047937618217205,0.008924001441713,0.039544824740346,VP113,0.047937618217205,59196.437500000000000,45.715083756488674,36.821152921010899,82.828707158825793,8.331676383515509,Ammonite,8.331676383515509,59704.187500000000000,116.452132463455200
53,0.250000000000000,0.125000000000000,0.002621579314308,0.005887147075669,0.005929151469516,0.042897526967536,Ammonite,0.042897526967536,59928.250000000000000,188.826781712140530,80.448465034918698,212.018890741254012,9.814488510795616,Ammonite,9.814488510795616,14971.250000000000000,30.301981925964355
53,0.125000000000000,0.125000000000000,0.002623746716694,0.005887822539108,0.005929151469516,0.042906420753539,Ammonite,0.042906420753539,59928.375000000000000,188.826781712140530,80.448436788053911,212.018887874834007,9.814481516862825,Ammonite,9.814481516862825,14971.375000000000000,57.012516736984253
53,0.062500000000000,0.125000000000000,0.002623758369936,0.005888213894266,0.005930954982219,0.042907066695491,Ammonite,0.042907066695491,59928.312500000000000,188.826788448304370,80.448438412592466,212.018887857682614,9.814473510451942,Ammonite,9.814473510451942,14971.312500000000000,115.757336616516113
60,0.250000000000000,0.125000000000000,0.006491907902088,0.012720230678198,0.004436880315197,0.053814631478787,Ammonite,0.053814631478787,59928.250000000000000,129.380678441074735,82.397432801492627,239.417789178164384,55.083445202378222,Ammonite,55.083445202378222,27424.250000000000000,31.684499025344849
60,0.125000000000000,0.125000000000000,0.006491907902088,0.012720230678198,0.004436880315197,0.053814631478787,Ammonite,0.053814631478787,59928.250000000000000,129.380678441074735,82.397428790515576,239.417778557462384,55.083445202378222,Ammonite,55.083445202378222,27424.250000000000000,56.496782779693604
60,0.062500000000000,0.125000000000000,0.006491937996600,0.012721136388791,0.004436874604451,0.053829472562825,Ammonite,0.053829472562825,59928.312500000000000,129.380678445285696,82.397428522283079,239.417778572851546,55.083445562585446,Ammonite,55.083445562585446,27424.250000000000000,115.736719608306885
66,0.250000000000000,0.125000000000000,0.007644536639049,0.138699572987775,0.021572720836943,0.033511624777177,VP113,0.138699572987775,59196.500000000000000,96.105613653202496,126.924953487688853,241.734610865439919,59.313297555963729,Ammonite,59.313297555963729,24236.750000000000000,30.347090959548950
66,0.125000000000000,0.125000000000000,0.007649923026975,0.138699572987775,0.021581251576279,0.033511624777177,VP113,0.138699572987775,59196.500000000000000,96.105613653202496,126.924953487688853,241.734592989379934,59.313297555963729,Ammonite,59.313297555963729,24236.750000000000000,57.863762140274048
66,0.062500000000000,0.125000000000000,0.007649950339612,0.138711673679367,0.021584789335435,0.033511986957606,VP113,0.138711673679367,59196.562500000000000,96.105603675859612,126.924952969575358,241.734589230994288,59.313295709356105,Ammonite,59.313295709356105,24236.812500000000000,117.632677316665649
67,0.250000000000000,0.125000000000000,0.014165252779918,0.029542165224470,0.011176304482362,0.018413259103468,VP113,0.029542165224470,25295.250000000000000,101.785594468446405,10.921849544133899,27.168330908232392,56.078182253457804,VP113,10.921849544133899,21592.000000000000000,30.027796983718872
67,0.125000000000000,0.125000000000000,0.014165252779918,0.029556995968306,0.011178692575712,0.018414729107349,VP113,0.029556995968306,25295.125000000000000,101.785594468446405,10.921849544133899,27.168330058515387,56.078173532957557,VP113,10.921849544133899,21592.000000000000000,56.987397193908691
67,0.062500000000000,0.125000000000000,0.014165407485407,0.029557008927370,0.011178706117192,0.018415671116429,VP113,0.029557008927370,25295.125000000000000,101.785593553805910,10.921850616824772,27.168317519231788,56.078163723862282,VP113,10.921850616824772,21592.000000000000000,116.072272300720215
